,City,Zip Code,Dependents,Tenure Months,Online Security,Tech Support,Contract,Payment Method,Monthly Charges,CLTV
0,562,2,0,-1.2367242199587352,2,0,0,3,-0.3626603559551803,3239
1,562,4,1,-1.2367242199587352,0,0,0,2,0.19736523310080326,2701
2,562,5,1,-0.9924020376385531,0,0,0,2,1.1595456961969886,5372
3,562,8,1,-0.1779947632379461,0,2,0,2,1.330710787214099,5003
4,562,13,1,0.6771328748826912,0,0,0,0,1.2941512532104444,5340
5,562,18,0,-0.9109613101984924,0,2,0,1,-0.31779183695069496,5925
6,562,20,0,-1.2774445836787656,0,0,0,2,-0.8346107040023594,5433
7,562,22,0,-1.2774445836787656,1,1,0,3,-1.4827115340671475,4832
8,562,26,1,0.5956921474426305,0,0,0,2,1.1495749141959914,5789
9,562,27,0,-1.2774445836787656,0,0,0,2,-1.1486903370337564,2915
10,562,29,0,-0.62591876415828,0,0,0,3,-0.0020504069191315333,3022
11,562,36,1,-1.1145631287986442,0,0,0,2,0.16412929309748078,2454
12,562,38,1,0.06632741908223598,0,0,0,2,1.3822264942192488,2941
13,562,39,1,-0.8702409464784621,0,0,0,0,1.099721004191008,5674
14,562,47,1,-1.2367242199587352,0,0,0,2,0.5280628361338618,5586
15,562,51,1,-0.7073594915983407,2,0,0,1,1.141265929195161,2966
16,562,53,1,-0.9924020376385531,0,0,0,1,0.5280628361338618,5302
17,562,55,1,-0.5851984004382496,0,0,0,2,1.0199547481830342,3179
18,77,64,1,-0.9516816739185228,0,0,0,2,0.9850570111795457,5571
19,442,80,1,-1.2774445836787656,0,0,0,2,0.48485611412954227,2483
20,575,82,1,-1.0331224013585834,0,0,0,0,0.34526516611558833,3457
21,592,95,1,-0.8295205827584317,2,0,0,2,0.47156173812821356,5806
22,453,97,0,-1.1145631287986442,1,1,0,3,-1.4527991880641573,2604
23,453,99,1,-0.30015585439803716,0,0,0,2,1.1213243651931677,5337
24,906,104,0,1.4508197855632678,0,2,2,0,1.503537675231376,5034
25,1019,110,1,0.9214550572028734,2,0,0,2,1.0631614701873533,5154
26,1094,113,1,0.18848851024232702,0,0,0,2,0.39013368512007346,2793
27,1094,117,1,-0.9109613101984924,2,0,0,2,1.1794872601989819,5998
28,493,122,1,-1.1960038562387048,0,0,0,2,0.32033821111309646,4415
29,766,126,1,-0.21871512695797646,0,0,0,2,0.44164939212522314,4638
30,49,131,0,-0.30015585439803716,2,0,0,1,-0.2047896409393986,4190
31,408,133,0,-1.2774445836787656,0,0,0,2,-0.9742016520163136,2301
32,518,134,0,-1.2367242199587352,0,0,0,2,-0.6784017859867437,2570
33,559,139,1,-1.2774445836787656,0,0,0,3,0.18905624809997262,3964
34,891,141,0,-0.9924020376385531,2,2,0,2,0.21232140610229844,2662
35,165,147,0,-1.2774445836787656,0,0,0,2,-0.6351950639824246,2600
36,556,151,1,-1.0331224013585834,0,0,0,3,1.0049985751815391,2786
37,18,161,1,-0.5037576729981889,2,0,0,2,0.5862257311396761,5719
38,635,166,1,-1.1552834925186746,0,0,0,0,0.20401242110146783,4287
39,936,168,0,1.0436161483629645,0,0,0,2,-0.6468276429835875,5444
40,1029,171,1,-1.2367242199587352,0,2,0,2,1.3174164112127704,4690
41,748,173,0,0.8400143297628127,0,0,1,0,1.0000131841810405,4328
42,748,176,1,-0.7073594915983407,0,0,0,3,0.32200000811326246,5717
43,748,177,1,-1.0331224013585834,2,0,0,0,0.3884718881199074,4419
44,371,180,0,-1.2774445836787656,0,0,0,0,-1.156999322034587,4534
45,371,182,1,-0.9924020376385531,0,0,0,0,0.6560212051466532,2152
46,371,184,1,-0.7888002190384014,0,0,0,2,0.4815325201292102,5142
47,371,185,0,-1.2774445836787656,0,0,0,2,-1.328164413051698,4851
48,149,191,1,-1.0738427650786138,0,0,0,2,0.8720548151682491,2283
49,630,207,1,-1.2774445836787656,0,0,0,2,0.50313588113137,3394
50,901,208,1,-0.5444780367182193,2,2,0,2,1.3905354792200795,3764
51,983,210,0,-1.2367242199587352,0,0,0,1,-0.6235624849812617,2667
52,968,220,1,-1.1552834925186746,0,0,0,2,0.179085466098976,2227
53,743,223,0,-1.1552834925186746,0,2,0,3,-0.4889569279678058,3394
54,1053,227,0,-1.2774445836787656,0,0,0,3,-0.31779183695069496,3638
55,121,232,1,-1.2774445836787656,2,0,0,3,0.6593447991469852,2484
56,688,235,0,-1.2367242199587352,0,0,0,3,-0.34438058895335305,2556
57,688,238,1,-0.8702409464784621,0,0,0,2,1.0049985751815391,5980
58,229,247,0,-0.7073594915983407,0,0,0,2,0.32033821111309646,4616
59,229,248,0,-1.2774445836787656,2,0,0,3,-0.5388108379727895,5687
60,292,251,0,-1.2367242199587352,0,0,0,2,0.1873944510998066,5687
61,292,252,0,-1.2774445836787656,0,0,0,2,-0.8163309370005319,5828
62,499,258,0,-1.2367242199587352,0,0,0,1,-0.6700928009859131,4884
63,499,260,0,-1.1960038562387048,0,0,0,2,-0.7847567939973756,2314
64,853,261,0,-0.7888002190384014,0,0,0,2,1.4005062612210766,2494
65,714,268,0,1.0843365120829946,1,1,2,3,-1.5093002860698053,5084
66,714,270,0,-0.6666391278783103,0,2,0,2,0.9867188081797118,3810
67,792,272,0,-1.2774445836787656,0,0,0,0,-1.328164413051698,5087
68,792,274,0,-1.2774445836787656,0,0,0,3,0.19404163910047073,3338
69,849,275,0,-1.1145631287986442,0,2,0,2,0.6859335511496436,3676
70,870,276,0,0.7992939660427822,0,0,0,2,1.3390197722149297,4839
71,1079,284,0,-0.5851984004382496,0,0,0,3,1.0099839661820376,4643
72,12,287,0,-1.2774445836787656,0,0,0,2,0.17410007509847744,4094
73,16,288,0,-0.9924020376385531,0,0,0,2,0.3236618051134285,4345
74,100,289,0,-0.9109613101984924,0,0,0,1,-0.6617838159850825,4061
75,106,290,0,-0.3408762181180675,0,0,0,2,0.37683930911874425,2018
76,399,299,0,-1.2774445836787656,2,0,0,3,0.2937494591104381,2565
77,461,301,0,-1.1552834925186746,0,0,0,2,1.0199547481830342,3677
78,655,306,0,-0.015113308357824713,0,0,0,2,0.33695618111475767,4105
79,104,314,0,-1.1145631287986442,0,0,0,2,0.5264010391336954,5715
80,158,317,0,0.22920887396235737,2,2,1,1,0.5164302571326987,2071
81,251,318,0,-0.3408762181180675,0,0,0,2,0.9435120861753926,2212
82,287,320,0,0.880734693482843,2,2,1,0,0.5878875281398422,4149
83,308,327,0,-1.2367242199587352,0,0,0,2,0.1857326540996401,2671
84,706,333,0,-1.0331224013585834,0,0,0,2,0.3020584441112687,2473
85,733,334,0,-1.2367242199587352,0,0,0,3,0.5264010391336954,2683
86,741,335,0,1.4508197855632678,0,2,1,0,0.36686852711774764,4903
87,752,336,0,0.43281069256250915,0,0,2,2,1.3240635992134344,5250
88,809,339,0,1.247217966963116,0,0,0,2,1.284180471209448,4352
89,1048,346,0,-1.2367242199587352,0,0,0,2,0.8521132511662559,4157
90,869,353,0,-1.1552834925186746,0,0,0,0,0.6659919871476498,4939
91,869,354,0,-0.46303730927815856,2,0,0,2,-0.7598298389948839,4778
92,869,355,0,-0.9109613101984924,0,0,0,0,0.5147684601325326,3598
93,869,358,0,-0.21871512695797646,2,0,0,1,-1.1304105700319294,2927
94,869,365,0,-1.1145631287986442,0,0,0,0,1.0548524851865226,5383
95,869,371,0,-1.2367242199587352,0,0,0,2,0.6942425361504742,3878
96,869,377,0,-0.30015585439803716,0,2,0,0,1.3356961782145975,3642
97,869,381,0,-1.2774445836787656,0,0,0,3,-0.4690153639658123,2431
98,452,383,0,-1.2774445836787656,0,0,0,1,0.8670694241677506,3424
99,451,385,0,-0.8702409464784621,1,1,0,3,-1.4893587220678117,5888
100,735,386,0,0.9214550572028734,0,0,0,2,0.6875953481498096,5502
101,258,397,0,0.06632741908223598,0,0,0,1,0.30538203811160125,5795
102,430,402,0,1.4915401492832983,0,0,0,1,1.1528985081963241,4020
103,681,408,0,-1.2774445836787656,1,1,0,3,-1.491020519067978,3351
104,689,409,0,-1.2774445836787656,1,1,0,3,-1.5009913010689746,3448
105,707,410,0,-1.1960038562387048,0,0,0,2,0.5513279941361872,2818
106,920,418,0,-0.4223169455581282,0,0,0,2,0.6161380771426661,3804
107,1009,419,0,-1.2774445836787656,0,0,0,0,0.3502505571160864,4902
108,2,430,0,1.1657772395230555,1,1,0,3,-1.5076384890696393,4221
109,32,433,0,-0.8295205827584317,0,0,0,0,-0.6435040489832552,2887
110,233,445,0,1.125056875803025,0,0,0,2,1.3672703212177542,4105
111,241,446,0,-1.2774445836787656,0,0,0,3,0.15914390209698223,2792
112,574,453,0,-0.1779947632379461,0,0,0,2,0.5413572121351905,5201
113,573,462,0,-1.1552834925186746,0,0,0,2,1.2093996062019723,4417
114,576,463,0,-1.0331224013585834,0,0,0,2,1.1645310871974868,2031
115,763,469,0,-0.7888002190384014,0,0,0,2,-0.2928648819482031,4498
116,822,471,0,-1.2774445836787656,0,0,0,2,-0.3244390249513595,4877
117,830,474,0,-1.2774445836787656,0,0,0,2,0.3303089931140931,5980
118,854,475,0,-0.3408762181180675,0,0,0,2,0.5147684601325326,4418
119,1000,478,0,-1.1145631287986442,0,2,0,2,1.0415581091851935,4192
120,1057,479,0,-0.7073594915983407,0,0,0,0,0.14086413509515497,5671
121,1118,481,0,0.6364125111626608,2,0,0,0,-0.6468276429835875,4926
122,865,484,0,-0.9924020376385531,0,0,0,2,0.6244470621434968,2879
123,865,489,0,-1.2774445836787656,0,0,0,2,0.31867641411292996,2814
124,844,492,0,-1.2367242199587352,2,0,0,2,0.32033821111309646,4263
125,844,495,0,-0.4223169455581282,0,0,1,0,-0.6983433499887373,3099
126,844,498,0,-1.1145631287986442,0,0,0,2,-1.2068532320395708,4099
127,589,499,0,-0.8295205827584317,2,0,0,0,1.1612074931971548,2538
128,419,505,0,-0.5037576729981889,0,0,0,2,0.9750862291785486,2666
129,431,507,0,-1.2367242199587352,0,2,0,2,0.9784098231788811,3715
130,446,508,0,-1.0738427650786138,0,2,0,2,0.5230774451333633,5032
131,647,512,0,-1.1145631287986442,0,0,0,2,0.31867641411292996,5273
132,662,515,0,0.3106496014024181,0,2,0,0,1.330710787214099,3492
133,759,518,0,-0.21871512695797646,2,0,0,0,0.3469269631157543,4517
134,982,523,0,-0.38159658183809786,0,0,0,0,0.36022133911708304,2115
135,982,524,0,0.06632741908223598,0,0,0,2,1.1728400721983174,2568
136,457,534,0,-1.2774445836787656,0,0,0,2,0.6726391751483144,5679
137,511,543,0,-0.9109613101984924,0,0,0,0,0.7075369121518029,2966
138,441,544,0,-0.7888002190384014,2,2,0,1,-0.6385186579827569,4856
139,441,546,0,0.26992923768238775,0,0,0,3,0.7158458971526335,3364
140,676,554,0,-0.015113308357824713,0,0,0,0,0.5180920541328647,5974
141,898,568,0,0.10704778280226633,0,0,0,2,1.1794872601989819,2744
142,898,573,0,0.9621754209229036,0,0,1,1,1.1811490571991479,5170
143,23,580,0,-0.8295205827584317,1,1,0,3,-1.5209328650709681,3535
144,23,581,0,-1.2774445836787656,2,0,0,3,0.3502505571160864,3244
145,23,582,0,-1.1552834925186746,0,0,0,2,0.8122301231622688,5808
146,110,585,0,-1.2774445836787656,0,0,0,2,0.6959043331506402,4880
147,684,595,0,-0.8295205827584317,2,2,0,3,-0.10342002392926519,5670
148,1120,609,0,1.3286586944031769,2,0,0,0,1.3456669602155942,4196
149,1055,610,0,-0.9516816739185228,0,0,0,2,-1.156999322034587,2573
150,1055,611,0,-0.9516816739185228,2,2,0,3,0.00792037508186511,3983
151,795,624,0,-1.0331224013585834,1,1,0,0,-1.4876969250676457,4479
152,981,629,0,0.6771328748826912,0,0,0,1,0.8404806721650927,5059
153,899,630,0,0.43281069256250915,0,2,0,0,1.5284646302338678,2728
154,899,635,0,1.3286586944031769,0,0,0,2,1.3539759452164248,5720
155,15,638,0,0.9621754209229036,2,0,1,0,1.3224018022132684,6268
156,38,639,0,-0.9109613101984924,0,0,0,2,0.6809481601491449,3573
157,50,641,0,0.43281069256250915,0,0,0,2,-0.28621769394753876,2152
158,98,642,0,-1.2774445836787656,0,0,0,2,0.8238627021634315,4996
159,143,645,0,-0.5037576729981889,0,0,0,2,0.9900424021800438,5604
160,204,646,0,-1.2774445836787656,0,0,0,3,-0.6335332669822583,2295
161,253,648,0,-1.2367242199587352,0,0,0,2,0.8222009051632655,2065
162,283,650,0,-1.1960038562387048,0,0,0,0,0.15914390209698223,2876
163,313,651,0,-1.2774445836787656,0,0,0,3,0.32698539911376057,3860
164,322,654,0,-0.9924020376385531,1,1,0,2,-1.4993295040688086,5432
165,443,658,0,-1.2367242199587352,1,1,1,3,-1.4926823160681442,2362
166,477,660,0,-1.1552834925186746,0,0,0,3,-1.3464441800535252,2038
167,531,666,0,-1.2367242199587352,0,0,0,2,0.16246749609731476,2323
168,538,668,0,-1.1552834925186746,0,0,0,3,-0.6351950639824246,2864
169,590,672,0,-1.2774445836787656,0,0,0,3,0.3419415721152558,4838
170,715,674,0,0.7992939660427822,0,0,0,2,-0.518869273970796,5597
171,800,677,0,-1.2367242199587352,0,0,0,2,-0.9991286070188055,3146
172,924,680,0,-1.2774445836787656,0,0,0,2,0.5064594751317021,2046
173,1014,687,0,-1.2367242199587352,2,0,0,2,-0.5155456799704636,3475
174,1111,693,0,-1.1960038562387048,0,0,0,1,0.3436033691154218,4965
175,1061,697,0,-1.1960038562387048,0,0,0,2,-0.4856333339674735,3273
176,56,705,0,-0.30015585439803716,2,0,0,0,0.5014740841312035,4535
177,884,710,0,-1.2774445836787656,1,1,0,3,-1.502653098069141,3556
178,553,722,0,-1.1552834925186746,0,0,0,2,0.7042133181514708,5640
179,553,723,0,-1.1960038562387048,0,0,0,2,-0.6451658459834212,2450
180,560,724,0,0.025607055362205634,0,0,0,2,0.9883806051798778,4333
181,705,728,0,-0.0965540357978854,2,0,0,1,0.895319973170575,2482
182,777,730,0,0.5142514200025698,0,2,0,2,0.7474200401557899,5269
183,633,742,0,-0.9109613101984924,2,0,0,2,1.1229861621933337,3658
184,466,755,0,-0.5037576729981889,0,0,0,2,1.1229861621933337,5444
185,473,758,0,-0.7073594915983407,0,0,0,0,0.7025515211513048,3579
186,520,761,0,-0.4223169455581282,0,0,0,2,0.8138919201624348,3161
187,520,762,0,-1.1960038562387048,0,0,0,2,0.18407085709947407,3038
188,737,771,0,-0.7073594915983407,0,0,0,2,0.9501592741760567,5264
189,754,772,0,-1.2774445836787656,1,1,0,3,-1.491020519067978,4248
190,816,773,0,-1.1145631287986442,2,0,0,3,0.8022593411612722,4356
191,834,774,0,0.025607055362205634,0,0,1,2,1.0315873271841969,4161
192,1027,777,0,-1.2367242199587352,0,0,0,2,0.572931355138347,3051
193,737,779,0,-1.2367242199587352,0,0,0,2,-0.6451658459834212,3478
194,62,783,0,-1.2774445836787656,0,2,0,2,-0.4174996569606623,4138
195,88,785,0,0.5549717837226001,2,0,1,2,1.503537675231376,2403
196,330,799,0,1.2064976032430856,0,0,1,2,1.0631614701873533,5016
197,355,801,0,-0.9109613101984924,0,2,0,2,1.1213243651931677,5184
198,476,804,0,-1.0738427650786138,0,0,0,2,0.684271754149477,4694
199,580,808,0,0.3106496014024181,0,0,0,2,1.2143849972024705,2576
200,580,809,0,-1.2774445836787656,0,0,0,2,0.15914390209698223,3042
201,610,810,0,1.0436161483629645,0,0,1,0,1.2791950802089493,6105
202,628,811,0,1.5322605130033284,2,2,2,1,1.304122035211441,4544
203,725,816,0,-1.2367242199587352,0,0,0,3,0.7125223031523015,2969
204,354,818,0,-0.46303730927815856,0,2,0,2,1.5434208032353631,4123
205,877,825,0,-0.6666391278783103,0,0,0,1,0.8205391081630994,3696
206,922,826,0,-1.0331224013585834,0,0,0,0,1.0249401391835322,3265
207,955,828,0,1.125056875803025,0,0,1,2,0.8703930181680831,4111
208,1015,830,0,0.7178532386027215,2,2,1,2,1.4553455622265583,4274
209,964,834,0,-1.1552834925186746,0,0,0,2,0.46823814412788106,5301
210,354,837,0,-1.2774445836787656,0,0,0,3,-0.6767399889865777,3522
211,354,840,0,0.9214550572028734,0,0,1,2,1.1711782751981514,5679
212,354,842,0,-0.8295205827584317,1,1,1,0,-1.4943441130683104,2653
213,354,844,0,-1.2774445836787656,0,0,0,2,0.8354952811645946,5951
214,86,855,0,1.2064976032430856,0,0,1,2,1.1761636661986499,5600
215,159,857,0,-1.2774445836787656,0,0,0,2,-0.46402997296531395,3718
216,467,862,0,-0.5037576729981889,0,0,0,2,0.2954112561106046,5849
217,480,863,0,-1.1960038562387048,0,0,0,2,1.0083221691818711,5861
218,547,864,0,-0.4223169455581282,0,0,0,1,0.9933659961803764,3665
219,591,865,0,-1.1552834925186746,0,2,0,3,0.5264010391336954,3080
220,755,868,0,1.0843365120829946,0,0,1,2,0.6909189421501416,6304
221,69,873,0,1.125056875803025,0,0,0,2,-0.46402997296531395,4941
222,242,876,0,-0.7073594915983407,2,2,0,2,1.3406815692150957,2122
223,551,880,0,-0.9109613101984924,2,2,0,2,1.506861269231708,5803
224,561,882,0,-1.0738427650786138,0,0,0,2,0.6360796411446599,3962
225,659,889,0,1.247217966963116,2,0,0,2,1.1894580421999785,5413
226,659,891,0,0.7178532386027215,0,0,0,0,1.2991366442109427,5812
227,760,893,0,-1.2774445836787656,0,0,0,2,-1.3348116010523623,5768
228,866,898,0,-0.8295205827584317,2,2,0,0,1.1346187411944968,5559
229,960,901,0,-0.9516816739185228,0,0,0,1,1.114677177192503,2954
230,985,902,0,-0.62591876415828,2,0,0,2,0.966777244177718,4940
231,872,905,0,-0.9516816739185228,0,0,0,2,1.1877962451998125,4038
232,872,910,0,-0.9109613101984924,0,0,0,2,0.2688225041079463,3189
233,872,915,0,-1.2774445836787656,0,0,0,2,0.2920876621102721,4369
234,872,926,0,-1.1960038562387048,0,0,0,2,0.48651791112970877,3501
235,872,927,0,-0.7888002190384014,0,0,0,2,0.544680806135523,4806
236,738,933,0,-1.1552834925186746,0,0,0,2,0.6593447991469852,2467
237,888,937,0,-1.0738427650786138,2,0,0,2,0.4748853321285456,3263
238,30,945,0,-1.1960038562387048,0,0,0,0,0.32033821111309646,2054
